"blueprint","item_name","category","tier","slot","resource","property","propertyName","rangeIndex","startQuality","endQuality","atStart","atEnd","mode"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","VehicleWeaponsS1","0","Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","VehicleWeaponsS1","0","Wiring","Copper","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","VehicleWeaponsS2","0","Acceleration Unit","Quantanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","VehicleWeaponsS2","0","Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S2","Singe Cannon (S2)","VehicleWeaponsS2","0","Wiring","Copper","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","VehicleWeaponsS3","0","Acceleration Unit","Quantanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","VehicleWeaponsS3","0","Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S3","Singe Cannon (S3)","VehicleWeaponsS3","0","Wiring","Copper","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","VehicleWeaponsS4","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","VehicleWeaponsS4","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_S4","C-788 Cannon","VehicleWeaponsS4","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","VehicleWeaponsS2","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","VehicleWeaponsS2","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticCannon_VNG_S2","CVSA Cannon","VehicleWeaponsS2","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","VehicleWeaponsS4","0","Barrels","Tungsten","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","VehicleWeaponsS4","0","Drive Motor","Ouratite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S4","AD4B Ballistic Gatling","VehicleWeaponsS4","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","VehicleWeaponsS5","0","Barrels","Tungsten","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","VehicleWeaponsS5","0","Drive Motor","Ouratite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S5","AD5B Ballistic Gatling","VehicleWeaponsS5","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","VehicleWeaponsS6","0","Barrels","Tungsten","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","VehicleWeaponsS6","0","Drive Motor","Ouratite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticGatling_S6","AD6B Ballistic Gatling","VehicleWeaponsS6","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","VehicleWeaponsS1","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","VehicleWeaponsS1","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S1","SW16BR1 “Buzzsaw” Repeater","VehicleWeaponsS1","0","Reinforced Frame","Borase","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","VehicleWeaponsS2","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","VehicleWeaponsS2","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S2","SW16BR2 “Sawbuck” Repeater","VehicleWeaponsS2","0","Reinforced Frame","Borase","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","VehicleWeaponsS3","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","VehicleWeaponsS3","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_S3","SW16BR3 “Shredder” Repeater","VehicleWeaponsS3","0","Reinforced Frame","Borase","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","VehicleWeaponsS2","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","VehicleWeaponsS2","0","Cycler","Riccite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_BallisticRepeater_VNG_S2","BRVS Repeater","VehicleWeaponsS2","0","Reinforced Frame","Borase","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_DistortionCannon_VNG_S2","EVSD Cannon","VehicleWeaponsS2","0","Electronics","Gold","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_DistortionCannon_VNG_S2","EVSD Cannon","VehicleWeaponsS2","0","Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_DistortionRepeater_VNG_S2","ATVS Repeater","VehicleWeaponsS2","0","Radiator","Torite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_BEHR_DistortionRepeater_VNG_S2","ATVS Repeater","VehicleWeaponsS2","0","Reinforced Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S1","M3A Cannon","VehicleWeaponsS1","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S2","M4A Cannon","VehicleWeaponsS2","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S3","M5A Cannon","VehicleWeaponsS3","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S4","M6A Cannon","VehicleWeaponsS4","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S5","M7A Cannon","VehicleWeaponsS5","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_S6","M8A Cannon","VehicleWeaponsS6","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserCannon_VNG_S2","MVSA Cannon ","VehicleWeaponsS2","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserRepeater_VNG_S2","GVSR Repeater","VehicleWeaponsS2","0","Reinforced Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BEHR_LaserRepeater_VNG_S2","GVSR Repeater","VehicleWeaponsS2","0","Thermal Sink","Pressurized_Ice","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01","FS-9 LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_tint01","FS-9 ""Blacklist"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_xenothreat01","FS-9 ""Stoneface"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Frame","Lindinium","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_lmg_ballistic_01_yellow_grey01","FS-9 ""Finish Line"" LMG","FPSWeapons","0","Stock","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01","S-38 Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Frame","Aluminum","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Handling","Recoil Handling","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Kick","Recoil Kick","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_pistol_ballistic_01_firerats01","S-38 ""Scorched"" Pistol","FPSWeapons","0","Grip","Hephaestanite","GPP_Weapon_Recoil_Smoothness","Recoil Smoothness","0","0","1000","1.2","0.8","multiplier"
"BP_CRAFT_behr_rifle_ballistic_01","P4-AR Rifle","FPSWeapons","0","Barrel","Iron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.925","1.075","multiplier"
"BP_CRAFT_behr_rifle_ballistic_01","P4-AR Rifle","FPSWeapons","0","Barrel","Iron","GPP_Weapon_FireRate","Fire Rate","0","0","1000","0.88","1.12","multiplier"
